,index_bug,valid,type,issue,module,commit,parent,testcase,has_test_annotation,description,tag_parent,tag_commit
174,174,True,Regression,TIKA-1877,tika-parsers,1299c9e494882e011749fb8a4514c40631df03d1,e105088729ef12acbda1fe4e71f462f84d98f981,org.apache.tika.mime.TestMimeTypes#testFitsDetection,True,,1.12,1.12
175,175,True,Delta,TIKA-1877,tika-parsers,e105088729ef12acbda1fe4e71f462f84d98f981,602d237feec48bfd97bc2b2b38ea614b1ae2c55d,org.apache.tika.mime.TestMimeTypes#testNetCDF,True,,1.12,1.12
176,176,True,Regression,TIKA-1877,tika-parsers,602d237feec48bfd97bc2b2b38ea614b1ae2c55d,ed762b702875c843d0322b8ba6d05385ca91875d,org.apache.tika.mime.TestMimeTypes#testFitsDetection,True,,1.12,1.12
177,177,True,Delta,TIKA-1898,tika-parsers,c94236a8365b9ab1491d98c31819a85b065a9fe1,959c9ad2843ed8d21cb3e8c60e5ac614e2f7ab99,org.apache.tika.mime.TestMimeTypes#testMIF,True,,1.12,1.12
178,178,True,Delta,TIKA-1916,tika-parsers,5e170d4373c28a4b520196591c4d94ab8073bfbf,53f29e0e127f05fbce06a56710c370ad3efe9c66,org.apache.tika.parser.odf.ODFParserTest#testMissingMeta,True,,1.12,1.12
179,179,True,Regression,TIKA-1927,tika-parsers,4f22b085b1569d66d711b79751478dfb8448c353,5e170d4373c28a4b520196591c4d94ab8073bfbf,org.apache.tika.parser.jdbc.SQLite3ParserTest#testBasic,True,,1.12,1.12
180,180,True,Delta,TIKA-1927,tika-parsers,4f22b085b1569d66d711b79751478dfb8448c353,5e170d4373c28a4b520196591c4d94ab8073bfbf,org.apache.tika.parser.jdbc.SQLite3ParserTest#testNulls,True,,1.12,1.12
181,181,True,Regression,TIKA-1928,tika-core,b2821d921ac4cfd3be468e8bea9123f5cb627cbf,bc0b1f7f7e0b854a119779fc3f806e0d9490c08a,org.apache.tika.detect.NameDetectorTest#testDetect,True,,1.13,1.13
182,182,True,Delta,TIKA-1938,tika-parsers,b6d23c189e852fa2e41b441c18bfe3e66e3f67c4,19ed2619444af53d1108e1e1243ef8746a165455,org.apache.tika.parser.html.HtmlParserTest#testScriptSrc,True,,1.12,1.12
183,183,True,Delta,TIKA-1970,tika-parsers,89881ce207444a9d53f041bf9a14b5b7d623dca6,74085318373082e3b4662481eb78e62a07726ddc,org.apache.tika.parser.mail.RFC822ParserTest#testMultipleSubjects,True,,1.13,1.13
184,184,True,Delta,TIKA-1970,tika-parsers,09cc658a30ae194323f1e444be73d396544efc6b,e08d00654a77267686a112e0665c324ef041c033,org.apache.tika.parser.mail.RFC822ParserTest#testDates,True,,1.13,1.13
185,185,True,Delta,TIKA-1971,tika-parsers,e08d00654a77267686a112e0665c324ef041c033,bc0b1f7f7e0b854a119779fc3f806e0d9490c08a,org.apache.tika.parser.mail.RFC822ParserTest#testDetection,True,,1.13,1.13
