,Unnamed: 0,TEST,bug_ID,project,time_budget,faulty_class,sum_detected,count_detected,FP,FP_genric,LOC,LOC_P,Random
42,2634,org.apache.commons.lang.CharEncoding,41,Lang,60,0.0,0,6,0.036,0.0405,21,0.00937081659973,0.782343570213
43,1730,org.apache.commons.lang.CharEncoding,44,Lang,60,0.0,0,10,0.036,0.0405,21,0.00937081659973,0.200693836775
44,5248,org.apache.commons.lang.CharRange,54,Lang,60,0.0,0,10,0.308,0.1755,87,0.0388219544846,0.0810691221647
45,1616,org.apache.commons.lang.CharRange,42,Lang,60,0.0,0,10,0.308,0.1755,84,0.0374832663989,0.644016473441
46,7402,org.apache.commons.lang.CharRange,62,Lang,60,0.0,0,10,0.308,0.1755,87,0.0388219544846,0.93373987999
47,10188,org.apache.commons.lang.CharRange,41,Lang,60,0.0,0,6,0.308,0.1755,87,0.0388219544846,0.557383408479
48,100,org.apache.commons.lang.CharRange,52,Lang,60,0.0,0,10,0.308,0.1755,87,0.0388219544846,0.0019246718587
49,7244,org.apache.commons.lang.CharRange,44,Lang,60,0.0,0,10,0.308,0.1755,84,0.0374832663989,0.346265139816
50,2953,org.apache.commons.lang.CharRange,45,Lang,60,0.0,0,10,0.308,0.1755,84,0.0374832663989,0.370719350162
51,2422,org.apache.commons.lang.CharRange,57,Lang,60,0.0,0,10,0.308,0.1755,87,0.0388219544846,0.0328969709512
52,393,org.apache.commons.lang.CharRange,46,Lang,60,0.0,0,10,0.308,0.1755,84,0.0374832663989,0.224673533661
53,7882,org.apache.commons.lang.CharRange,51,Lang,60,0.0,0,10,0.308,0.1755,87,0.0388219544846,0.456469931845
54,16616,org.apache.commons.lang.CharRange,40,Lang,60,0.0,0,6,0.308,0.1755,87,0.0388219544846,0.860830967868
55,2670,org.apache.commons.lang.CharSet,41,Lang,60,0.0,0,6,0.048,0.1695,102,0.045515394913,0.0775599141833
56,4339,org.apache.commons.lang.CharSet,45,Lang,60,0.0,0,10,0.048,0.1695,101,0.0450691655511,0.43387575681
57,9564,org.apache.commons.lang.CharSet,54,Lang,60,0.0,0,10,0.048,0.1695,95,0.0423917893797,0.391685327331
58,2273,org.apache.commons.lang.CharSet,46,Lang,60,0.0,0,10,0.048,0.1695,101,0.0450691655511,0.726163387406
59,1241,org.apache.commons.lang.CharSet,52,Lang,60,0.0,0,10,0.048,0.1695,101,0.0450691655511,0.763911560362
60,7263,org.apache.commons.lang.CharSet,44,Lang,60,0.0,0,10,0.048,0.1695,101,0.0450691655511,0.907119930909
61,7545,org.apache.commons.lang.CharSet,42,Lang,60,0.0,0,10,0.048,0.1695,101,0.0450691655511,0.865034119437
62,6749,org.apache.commons.lang.CharSet,57,Lang,60,0.0,0,10,0.048,0.1695,95,0.0423917893797,0.716487962546
63,5939,org.apache.commons.lang.CharSet,40,Lang,60,0.0,0,6,0.048,0.1695,102,0.045515394913,0.0366881851075
64,17618,org.apache.commons.lang.CharSet,62,Lang,60,0.0,0,10,0.048,0.1695,95,0.0423917893797,0.696254327084
65,7873,org.apache.commons.lang.CharSet,51,Lang,60,0.0,0,10,0.048,0.1695,101,0.0450691655511,0.2908693027
66,1033,org.apache.commons.lang.CharSetUtils,54,Lang,60,0.0,0,8,0.34,0.1985,133,0.0593485051316,0.634078764126
67,4056,org.apache.commons.lang.CharSetUtils,62,Lang,60,0.0,0,8,0.34,0.1985,133,0.0593485051316,0.117566903236
68,1194,org.apache.commons.lang.CharSetUtils,52,Lang,60,0.0,0,10,0.34,0.1985,133,0.0593485051316,0.0252215781638
69,1812,org.apache.commons.lang.CharSetUtils,57,Lang,60,0.0,0,8,0.34,0.1985,133,0.0593485051316,0.229045858574
70,1976,org.apache.commons.lang.CharSetUtils,40,Lang,60,0.0,0,6,0.34,0.1985,105,0.0468540829987,0.450437104526
71,8393,org.apache.commons.lang.CharSetUtils,45,Lang,60,0.0,0,7,0.34,0.1985,133,0.0593485051316,0.141147991208
72,2970,org.apache.commons.lang.CharSetUtils,46,Lang,60,0.0,0,9,0.34,0.1985,133,0.0593485051316,0.202149019642
73,6126,org.apache.commons.lang.CharSetUtils,41,Lang,60,0.0,0,6,0.34,0.1985,105,0.0468540829987,0.752743604124
74,8795,org.apache.commons.lang.CharSetUtils,44,Lang,60,0.0,0,7,0.34,0.1985,133,0.0593485051316,0.190860200407
75,6655,org.apache.commons.lang.CharSetUtils,51,Lang,60,0.0,0,8,0.34,0.1985,133,0.0593485051316,0.688704521331
76,11948,org.apache.commons.lang.CharSetUtils,42,Lang,60,0.0,0,8,0.34,0.1985,133,0.0593485051316,0.0634241796824
77,1998,org.apache.commons.lang.CharUtils,40,Lang,60,0.0,0,6,0.075,0.158,145,0.0647032574743,0.0584016198514
78,1046,org.apache.commons.lang.CharUtils,54,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.509341044122
79,6783,org.apache.commons.lang.CharUtils,42,Lang,60,0.0,0,9,0.075,0.158,145,0.0647032574743,0.999239120488
80,434,org.apache.commons.lang.CharUtils,46,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.876939154962
81,555,org.apache.commons.lang.CharUtils,57,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.407643272585
82,4096,org.apache.commons.lang.CharUtils,62,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.0668607627894
83,1650,org.apache.commons.lang.CharUtils,52,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.512437354598
84,6128,org.apache.commons.lang.CharUtils,41,Lang,60,0.0,0,6,0.075,0.158,145,0.0647032574743,0.843681127822
85,7872,org.apache.commons.lang.CharUtils,51,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.545914266912
86,7233,org.apache.commons.lang.CharUtils,44,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.914549002856
87,8380,org.apache.commons.lang.CharUtils,45,Lang,60,0.0,0,10,0.075,0.158,145,0.0647032574743,0.299242642242
88,85,org.apache.commons.lang.ClassUtils,52,Lang,60,0.0,0,10,0.326,0.2005,350,0.156180276662,0.477327349668
89,4980,org.apache.commons.lang.ClassUtils,51,Lang,60,0.0,0,10,0.326,0.2005,350,0.156180276662,0.177574134532
90,403,org.apache.commons.lang.ClassUtils,46,Lang,60,0.0,0,10,0.326,0.2005,429,0.191432396252,0.873513573796
91,1992,org.apache.commons.lang.ClassUtils,40,Lang,60,0.0,0,6,0.326,0.2005,459,0.204819277108,0.305798366828
92,5282,org.apache.commons.lang.ClassUtils,54,Lang,60,0.0,0,9,0.326,0.2005,324,0.144578313253,0.357980963804
93,6713,org.apache.commons.lang.ClassUtils,57,Lang,60,0.0,0,10,0.326,0.2005,324,0.144578313253,0.376522632503
94,4013,org.apache.commons.lang.ClassUtils,44,Lang,60,0.0,0,10,0.326,0.2005,449,0.20035698349,0.934728306369
95,4358,org.apache.commons.lang.ClassUtils,45,Lang,60,0.0,0,10,0.326,0.2005,449,0.20035698349,0.197998696521
96,1627,org.apache.commons.lang.ClassUtils,42,Lang,60,0.0,0,10,0.326,0.2005,448,0.199910754128,0.266846031092
97,4090,org.apache.commons.lang.ClassUtils,62,Lang,60,0.0,0,9,0.326,0.2005,324,0.144578313253,0.586614045013
98,6135,org.apache.commons.lang.ClassUtils,41,Lang,60,1.0,6,8,0.326,0.2005,459,0.204819277108,0.956347445483
99,6294,org.apache.commons.lang.Entities,54,Lang,60,0.0,0,10,0.455,0.2655,0,0.0,0.612781304577
100,4964,org.apache.commons.lang.Entities,51,Lang,60,0.0,0,10,0.455,0.2655,0,0.0,0.692044329279
101,4636,org.apache.commons.lang.Entities,62,Lang,60,1.0,0,12,0.455,0.2655,0,0.0,0.0425726025441
102,2457,org.apache.commons.lang.Entities,57,Lang,60,0.0,0,10,0.455,0.2655,0,0.0,0.460434196067
103,11994,org.apache.commons.lang.Entities,42,Lang,60,1.0,0,12,0.455,0.2655,0,0.0,0.195999082612
104,1783,org.apache.commons.lang.Entities,44,Lang,60,0.0,0,10,0.455,0.2655,0,0.0,0.376537472514
105,3010,org.apache.commons.lang.Entities,46,Lang,60,0.0,0,10,0.455,0.2655,0,0.0,0.485967590132
106,6022,org.apache.commons.lang.Entities,45,Lang,60,0.0,0,10,0.455,0.2655,0,0.0,0.681595241181
107,9202,org.apache.commons.lang.Entities,52,Lang,60,0.0,0,10,0.455,0.2655,0,0.0,0.81064495987
108,6159,org.apache.commons.lang.EnumUtils,41,Lang,60,0.0,0,6,0.047,0.047,15,0.00669344042838,0.310740703456
109,2009,org.apache.commons.lang.EnumUtils,40,Lang,60,0.0,0,6,0.047,0.047,15,0.00669344042838,0.312190819554
110,7551,org.apache.commons.lang.IDKey,42,Lang,60,0.0,0,10,0.047,0.047,22,0.00981704596162,0.926403868972
111,4833,org.apache.commons.lang.IDKey,44,Lang,60,0.0,0,10,0.047,0.047,22,0.00981704596162,0.910618586284
112,2987,org.apache.commons.lang.IllegalClassException,45,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.682371204497
113,7035,org.apache.commons.lang.IllegalClassException,52,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.258961678274
114,2607,org.apache.commons.lang.IllegalClassException,54,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.492653025843
115,8773,org.apache.commons.lang.IllegalClassException,44,Lang,60,0.0,0,9,0.048,0.043,24,0.0107095046854,0.134250188019
116,4088,org.apache.commons.lang.IllegalClassException,62,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.870754772666
117,11984,org.apache.commons.lang.IllegalClassException,42,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.951561626888
118,401,org.apache.commons.lang.IllegalClassException,46,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.858291464366
119,4979,org.apache.commons.lang.IllegalClassException,51,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.0444897007998
120,6711,org.apache.commons.lang.IllegalClassException,57,Lang,60,0.0,0,10,0.048,0.043,24,0.0107095046854,0.569892586743
121,120,org.apache.commons.lang.IncompleteArgumentException,52,Lang,60,0.0,0,9,0.036,0.0385,17,0.00758589915216,0.145769093969
122,2698,org.apache.commons.lang.IncompleteArgumentException,62,Lang,60,0.0,0,9,0.036,0.0385,17,0.00758589915216,0.846044089195
123,1608,org.apache.commons.lang.IncompleteArgumentException,42,Lang,60,0.0,0,10,0.036,0.0385,17,0.00758589915216,0.295957282925
124,1024,org.apache.commons.lang.IncompleteArgumentException,54,Lang,60,0.0,0,10,0.036,0.0385,17,0.00758589915216,0.723524120806
125,1390,org.apache.commons.lang.IncompleteArgumentException,45,Lang,60,0.0,0,10,0.036,0.0385,17,0.00758589915216,0.478104885092
126,8813,org.apache.commons.lang.IncompleteArgumentException,44,Lang,60,0.0,0,10,0.036,0.0385,17,0.00758589915216,0.304491051499
127,6723,org.apache.commons.lang.IncompleteArgumentException,57,Lang,60,0.0,0,10,0.036,0.0385,17,0.00758589915216,0.779865235762
128,6645,org.apache.commons.lang.IncompleteArgumentException,51,Lang,60,0.0,0,10,0.036,0.0385,17,0.00758589915216,0.64882202298
129,6379,org.apache.commons.lang.IncompleteArgumentException,46,Lang,60,0.0,0,10,0.036,0.0385,17,0.00758589915216,0.750150772631
130,7217,org.apache.commons.lang.IntHashMap,44,Lang,60,0.0,0,10,0.16,0.108,149,0.0664881749219,0.205205920616
