,bug_id,jira_id
0,94,738
0,108,818
0,95,730
0,120,40
0,109,488
2,143,1039
0,123,935
0,138,1011
0,122,929
2,119,719
0,142,1043
4,158,1121
0,149,1061
0,98,762
6,127,959
0,147,1056
