,bug_id,jira_id
0,1,30
1,10,299
2,11,284
3,13,28
4,17,69
5,21,71
6,24,94
7,28,74
8,36,113
9,47,160
10,52,171
11,56,181
12,73,223
13,75,1
14,84,245
15,85,252
16,89,265
17,91,270
18,102,10
19,105,306
20,109,312
21,113,317
22,116,324
23,118,332
24,120,330
25,122,335
26,130,356
27,131,357
28,134,367
29,135,377
30,146,412
31,152,421
32,157,436
33,160,451
34,164,459
35,167,462
36,170,475
