,bug_id,jira_id
0,10,43
0,3,40
2,58,4
4,12,13
0,49,172
0,7,44
0,5,34
0,63,215
2,43,144
6,57,8
0,16,35
0,54,191
6,56,16
0,4,39
6,6,38
0,36,116
2,62,203
0,39,131
0,14,12
