class,mean time- totalEffortInSeconds
org.apache.commons.math3.ml.clustering.MultiKMeansPlusPlusClusterer,53
org.apache.commons.math3.optimization.DifferentiableMultivariateMultiStartOptimizer,12
org.apache.commons.math3.linear.SymmLQ,62.3333333333
org.apache.commons.math3.geometry.enclosing.EnclosingBall,47.4
org.apache.commons.math3.distribution.NormalDistribution,66.8
org.apache.commons.math3.random.MersenneTwister,106
org.apache.commons.math3.analysis.solvers.MullerSolver,97.5
org.apache.commons.math3.optimization.PointValuePair,43.2
org.apache.commons.math3.geometry.euclidean.threed.SphereGenerator,49.8
org.apache.commons.math3.geometry.enclosing.WelzlEncloser,76.8
org.apache.commons.math3.linear.BlockRealMatrix,581
org.apache.commons.math3.genetics.InvalidRepresentationException,10.2
org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction,78.2
org.apache.commons.math3.genetics.RandomKey,107.75
org.apache.commons.math3.distribution.UniformIntegerDistribution,71.8
org.apache.commons.math3.geometry.partitioning.utilities.AVLTree,101
org.apache.commons.math3.stat.descriptive.rank.PSquarePercentile,129.6
org.apache.commons.math3.random.ISAACRandom,84
org.apache.commons.math3.fraction.FractionFormat,62.2
org.apache.commons.math3.ode.MultistepIntegrator,52.4
org.apache.commons.math3.genetics.Chromosome,53.4
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolator,94
org.apache.commons.math3.genetics.BinaryChromosome,76.6666666667
org.apache.commons.math3.geometry.spherical.twod.Sphere2D,36.2
org.apache.commons.math3.random.UncorrelatedRandomVectorGenerator,52.4
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm,92.5
org.apache.commons.math3.linear.NonSymmetricMatrixException,35.4
org.apache.commons.math3.linear.DefaultFieldMatrixChangingVisitor,26.2
org.apache.commons.math3.analysis.function.Log1p,37.6
org.apache.commons.math3.linear.AbstractRealMatrix,391
org.apache.commons.math3.exception.DimensionMismatchException,36.5
org.apache.commons.math3.analysis.solvers.LaguerreSolver,79
org.apache.commons.math3.geometry.euclidean.twod.hull.AbstractConvexHullGenerator2D,39.4
org.apache.commons.math3.util.MedianOf3PivotingStrategy,51.8
org.apache.commons.math3.analysis.integration.gauss.SymmetricGaussIntegrator,50.6
org.apache.commons.math3.optimization.linear.SimplexTableau,179.8
org.apache.commons.math3.ode.ParameterJacobianWrapper,49
org.apache.commons.math3.ode.AbstractParameterizable,45
org.apache.commons.math3.random.Well512a,14
org.apache.commons.math3.linear.RRQRDecomposition,80
org.apache.commons.math3.distribution.CauchyDistribution,64
org.apache.commons.math3.optimization.univariate.UnivariateMultiStartOptimizer,56
org.apache.commons.math3.analysis.integration.gauss.HermiteRuleFactory,0
org.apache.commons.math3.analysis.function.Tanh,36.8
org.apache.commons.math3.stat.correlation.KendallsCorrelation,111.3333333333
org.apache.commons.math3.geometry.spherical.twod.EdgesBuilder,64.2
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,119.4
org.apache.commons.math3.ode.nonstiff.RungeKuttaStepInterpolator,78.4
org.apache.commons.math3.random.UnitSphereRandomVectorGenerator,57.5
org.apache.commons.math3.geometry.partitioning.BoundaryProjector,76.25
org.apache.commons.math3.ml.distance.CanberraDistance,43.2
org.apache.commons.math3.ml.clustering.DoublePoint,43.4
org.apache.commons.math3.optim.nonlinear.vector.Target,34.8
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer,66.5
org.apache.commons.math3.exception.NotStrictlyPositiveException,11.2
org.apache.commons.math3.optim.MaxIter,39
org.apache.commons.math3.random.Well1024a,14.4
org.apache.commons.math3.optimization.PointVectorValuePair,48.6
org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapter,71.4
org.apache.commons.math3.distribution.AbstractRealDistribution,120.8
org.apache.commons.math3.util.OpenIntToDoubleHashMap,152
org.apache.commons.math3.random.Well44497b,46
org.apache.commons.math3.random.Well44497a,44.8
org.apache.commons.math3.optimization.MultivariateDifferentiableMultiStartOptimizer,21
org.apache.commons.math3.optim.univariate.SimpleUnivariateValueChecker,52.4
org.apache.commons.math3.fitting.PolynomialCurveFitter,44.4
org.apache.commons.math3.util.RandomPivotingStrategy,17.2
org.apache.commons.math3.genetics.AbstractListChromosome,42
org.apache.commons.math3.optimization.SimpleVectorValueChecker,49
org.apache.commons.math3.distribution.TDistribution,71
org.apache.commons.math3.geometry.partitioning.utilities.OrderedTuple,212
org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP,120
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer,80.6
org.apache.commons.math3.distribution.PoissonDistribution,124.75
org.apache.commons.math3.exception.util.DummyLocalizable,8.8
org.apache.commons.math3.analysis.function.Power,36.2
org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizer,52.2
org.apache.commons.math3.analysis.function.Asin,37
org.apache.commons.math3.ode.nonstiff.GillStepInterpolator,54.4
org.apache.commons.math3.ode.sampling.DummyStepHandler,34.6
org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,0
org.apache.commons.math3.optim.univariate.UnivariateObjectiveFunction,13
org.apache.commons.math3.fitting.AbstractCurveFitter,41
org.apache.commons.math3.ml.neuralnet.twod.NeuronSquareMesh2D,231.4
org.apache.commons.math3.analysis.FunctionUtils,64.6666666667
org.apache.commons.math3.ode.sampling.StepNormalizerBounds,34.4
org.apache.commons.math3.optim.PointValuePair,42.2
org.apache.commons.math3.distribution.BetaDistribution,76.2
org.apache.commons.math3.analysis.solvers.AbstractPolynomialSolver,32.8
org.apache.commons.math3.exception.NotFiniteNumberException,11
org.apache.commons.math3.analysis.interpolation.SplineInterpolator,51.8
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.MultiDirectionalSimplex,56.2
org.apache.commons.math3.geometry.euclidean.oned.Interval,48.8
org.apache.commons.math3.stat.descriptive.moment.VectorialMean,77.6
org.apache.commons.math3.ode.nonstiff.HighamHall54StepInterpolator,53.8
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet,183.6
org.apache.commons.math3.analysis.function.Sqrt,36
org.apache.commons.math3.primes.PollardRho,92
org.apache.commons.math3.analysis.function.Min,7
org.apache.commons.math3.linear.SingularOperatorException,35.6
org.apache.commons.math3.stat.ranking.NaturalRanking,138.2
org.apache.commons.math3.ode.nonstiff.MidpointIntegrator,12.4
org.apache.commons.math3.distribution.PascalDistribution,66.4
org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,87.8
org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,58.6
org.apache.commons.math3.stat.descriptive.rank.Max,57.6
org.apache.commons.math3.exception.util.ExceptionContext,68.2
org.apache.commons.math3.stat.clustering.Cluster,33.6
org.apache.commons.math3.special.BesselJ,285.25
org.apache.commons.math3.optim.SimpleVectorValueChecker,53.6
org.apache.commons.math3.optim.univariate.UnivariatePointValuePair,7.4
org.apache.commons.math3.ml.neuralnet.FeatureInitializerFactory,36.2
org.apache.commons.math3.geometry.spherical.twod.Vertex,46.4
org.apache.commons.math3.ode.nonstiff.LutherStepInterpolator,53.8
org.apache.commons.math3.geometry.partitioning.RegionFactory,81.8
org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,69.8
org.apache.commons.math3.stat.Frequency,132
org.apache.commons.math3.ml.distance.EarthMoversDistance,40.2
org.apache.commons.math3.geometry.partitioning.BoundaryBuilder,55
org.apache.commons.math3.random.HaltonSequenceGenerator,80.2
org.apache.commons.math3.optimization.SimpleBounds,34.4
org.apache.commons.math3.random.ValueServer,105.8
org.apache.commons.math3.optimization.direct.BOBYQAOptimizer,1040.2
org.apache.commons.math3.analysis.function.Sigmoid,62
org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerStepInterpolator,137
org.apache.commons.math3.genetics.NPointCrossover,69.6
org.apache.commons.math3.linear.RealMatrixFormat,136.6
org.apache.commons.math3.distribution.UniformRealDistribution,68.6
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizer,1116
org.apache.commons.math3.optim.PointVectorValuePair,50.2
org.apache.commons.math3.exception.NoDataException,35.2
org.apache.commons.math3.ode.nonstiff.ThreeEighthesStepInterpolator,55.2
org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormat,45.4
org.apache.commons.math3.random.JDKRandomGenerator,7.2
org.apache.commons.math3.linear.OpenMapRealMatrix,0
org.apache.commons.math3.optim.SimpleValueChecker,53.6
org.apache.commons.math3.random.SobolSequenceGenerator,122
org.apache.commons.math3.distribution.GeometricDistribution,63.4
org.apache.commons.math3.genetics.ChromosomePair,35.4
org.apache.commons.math3.fitting.leastsquares.LeastSquaresAdapter,40.4
org.apache.commons.math3.ml.neuralnet.MapUtils,104.4
org.apache.commons.math3.stat.descriptive.moment.Kurtosis,67.6
org.apache.commons.math3.util.Decimal64Field,35
org.apache.commons.math3.distribution.EnumeratedDistribution,115
org.apache.commons.math3.stat.regression.SimpleRegression,232
org.apache.commons.math3.analysis.interpolation.BicubicInterpolator,51
org.apache.commons.math3.fraction.BigFractionField,36.4
org.apache.commons.math3.genetics.UniformCrossover,62.4
org.apache.commons.math3.stat.descriptive.MultivariateSummaryStatistics,0
org.apache.commons.math3.linear.DefaultRealMatrixPreservingVisitor,35.4
org.apache.commons.math3.linear.RealVector,208.3333333333
org.apache.commons.math3.util.DefaultTransformer,23.8
org.apache.commons.math3.exception.MathArithmeticException,36
org.apache.commons.math3.distribution.LogisticDistribution,64.4
org.apache.commons.math3.distribution.AbstractMultivariateRealDistribution,54
org.apache.commons.math3.linear.NonPositiveDefiniteMatrixException,11.6
org.apache.commons.math3.stat.correlation.SpearmansCorrelation,107
org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory,59.2
org.apache.commons.math3.linear.SparseFieldMatrix,0
org.apache.commons.math3.analysis.differentiation.DSCompiler,488
org.apache.commons.math3.distribution.MixtureMultivariateNormalDistribution,44.5
org.apache.commons.math3.random.CorrelatedRandomVectorGenerator,65
org.apache.commons.math3.genetics.FixedElapsedTime,35.8
org.apache.commons.math3.optim.nonlinear.scalar.LineSearch,39.8
org.apache.commons.math3.ml.clustering.KMeansPlusPlusClusterer,189.5
org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer,39.2
org.apache.commons.math3.analysis.function.Sinc,88.8
org.apache.commons.math3.geometry.spherical.oned.Sphere1D,35.2
org.apache.commons.math3.optim.BaseMultiStartMultivariateOptimizer,87.8
org.apache.commons.math3.genetics.CycleCrossover,85.8
org.apache.commons.math3.util.FastMath,1496.2
org.apache.commons.math3.optim.linear.SimplexSolver,132.4
org.apache.commons.math3.optim.BaseMultivariateOptimizer,80.25
org.apache.commons.math3.optimization.linear.LinearObjectiveFunction,52.2
org.apache.commons.math3.geometry.partitioning.BSPTree,225
org.apache.commons.math3.util.Decimal64,75.6
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapter,64.4
org.apache.commons.math3.optim.nonlinear.scalar.LeastSquaresConverter,67.2
org.apache.commons.math3.optim.MaxEval,39.4
org.apache.commons.math3.analysis.function.Sinh,37.4
org.apache.commons.math3.util.IterationManager,50.6
org.apache.commons.math3.util.MathArrays,506
org.apache.commons.math3.transform.FastCosineTransformer,57.4
org.apache.commons.math3.stat.clustering.EuclideanIntegerPoint,47.4
org.apache.commons.math3.dfp.DfpMath,254.5
org.apache.commons.math3.analysis.function.Expm1,36.4
org.apache.commons.math3.analysis.function.Subtract,6.6
org.apache.commons.math3.optimization.direct.PowellOptimizer,77.2
org.apache.commons.math3.linear.IterativeLinearSolverEvent,36.8
org.apache.commons.math3.exception.util.LocalizedFormats,40.2
org.apache.commons.math3.analysis.function.Floor,7.4
org.apache.commons.math3.analysis.solvers.RegulaFalsiSolver,8.4
org.apache.commons.math3.ml.clustering.Clusterer,38
org.apache.commons.math3.stat.descriptive.SummaryStatistics,139.2
org.apache.commons.math3.stat.descriptive.moment.SecondMoment,41.6
org.apache.commons.math3.geometry.partitioning.BoundaryProjection,20.4
org.apache.commons.math3.optimization.InitialGuess,34.2
org.apache.commons.math3.geometry.euclidean.threed.Euclidean3D,35
org.apache.commons.math3.analysis.function.Max,7.6
org.apache.commons.math3.stat.descriptive.rank.Min,57.8
org.apache.commons.math3.linear.NonPositiveDefiniteOperatorException,35.4
org.apache.commons.math3.analysis.interpolation.NevilleInterpolator,36.8
org.apache.commons.math3.geometry.euclidean.twod.Segment,49.8
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer,82
org.apache.commons.math3.geometry.euclidean.twod.hull.ConvexHull2D,83
org.apache.commons.math3.genetics.GeneticAlgorithm,69
org.apache.commons.math3.ode.ExpandableStatefulODE,79.6
org.apache.commons.math3.analysis.function.Cbrt,39.2
org.apache.commons.math3.random.AbstractWell,69
org.apache.commons.math3.stat.descriptive.summary.Product,54.2
org.apache.commons.math3.exception.NotPositiveException,10.6
org.apache.commons.math3.stat.regression.ModelSpecificationException,11.2
org.apache.commons.math3.stat.regression.MillerUpdatingRegression,422.8
org.apache.commons.math3.optimization.direct.AbstractSimplex,90.8
org.apache.commons.math3.exception.NumberIsTooLargeException,40.4
org.apache.commons.math3.analysis.function.Signum,7.5
org.apache.commons.math3.random.Well19937c,38.2
org.apache.commons.math3.optim.linear.SolutionCallback,14.25
org.apache.commons.math3.genetics.ListPopulation,70.2
org.apache.commons.math3.optimization.fitting.HarmonicFitter,46.8
org.apache.commons.math3.analysis.integration.MidPointIntegrator,63
org.apache.commons.math3.fraction.AbstractFormat,57.6666666667
org.apache.commons.math3.random.Well19937a,38.4
org.apache.commons.math3.stat.descriptive.summary.SumOfLogs,49.6
org.apache.commons.math3.analysis.solvers.AbstractUnivariateDifferentiableSolver,36.6
org.apache.commons.math3.random.RandomAdaptor,46.4
org.apache.commons.math3.ml.distance.ChebyshevDistance,36
org.apache.commons.math3.optimization.fitting.WeightedObservedPoint,8
org.apache.commons.math3.linear.SingularMatrixException,35.8
org.apache.commons.math3.geometry.euclidean.threed.CardanEulerSingularityException,39.8
org.apache.commons.math3.util.OpenIntToFieldHashMap,161.75
org.apache.commons.math3.geometry.partitioning.BoundaryAttribute,24.6
org.apache.commons.math3.stat.descriptive.moment.Mean,57.6
org.apache.commons.math3.linear.OpenMapRealVector,259.6666666667
org.apache.commons.math3.random.RandomGeneratorFactory,40.2
org.apache.commons.math3.distribution.ExponentialDistribution,86.75
org.apache.commons.math3.optim.InitialGuess,34.8
org.apache.commons.math3.linear.DefaultFieldMatrixPreservingVisitor,21.4
org.apache.commons.math3.exception.MultiDimensionMismatchException,37
org.apache.commons.math3.util.Incrementor,60.4
org.apache.commons.math3.geometry.euclidean.threed.SubLine,60.8
org.apache.commons.math3.ml.clustering.evaluation.SumOfClusterVariances,47.4
org.apache.commons.math3.geometry.partitioning.AbstractRegion,184.75
org.apache.commons.math3.geometry.euclidean.twod.hull.MonotoneChain,89
org.apache.commons.math3.analysis.function.Identity,35.4
org.apache.commons.math3.geometry.partitioning.BoundarySizeVisitor,44.4
org.apache.commons.math3.stat.inference.BinomialTest,95.2
org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,96.8
org.apache.commons.math3.distribution.ZipfDistribution,92
org.apache.commons.math3.exception.NullArgumentException,34.4
org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,88.75
