class,mean time- totalEffortInSeconds
org.apache.commons.math3.optim.nonlinear.scalar.ObjectiveFunctionGradient,10
org.apache.commons.math3.analysis.interpolation.BicubicFunction,57.8
org.apache.commons.math3.analysis.solvers.PegasusSolver,8.5
org.apache.commons.math3.complex.ComplexUtils,45.6
org.apache.commons.math3.geometry.euclidean.twod.NestedLoops,75
org.apache.commons.math3.analysis.function.Asinh,37.2
org.apache.commons.math3.optimization.linear.UnboundedSolutionException,34.4
org.apache.commons.math3.complex.Complex,359
org.apache.commons.math3.exception.NumberIsTooSmallException,39.6
org.apache.commons.math3.util.BigRealField,34.8
org.apache.commons.math3.random.SynchronizedRandomGenerator,19
org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,51
org.apache.commons.math3.geometry.euclidean.twod.Euclidean2D,35
org.apache.commons.math3.linear.MatrixUtils,335
org.apache.commons.math3.analysis.function.Log,36.6
org.apache.commons.math3.stat.descriptive.SynchronizedDescriptiveStatistics,41.8
org.apache.commons.math3.distribution.AbstractIntegerDistribution,119.6
org.apache.commons.math3.util.CompositeFormat,84.4
org.apache.commons.math3.ode.nonstiff.AdaptiveStepsizeIntegrator,123.25
org.apache.commons.math3.ml.neuralnet.Neuron,50.4
org.apache.commons.math3.ml.clustering.evaluation.ClusterEvaluator,60
org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator,49.2
org.apache.commons.math3.optim.nonlinear.vector.ModelFunctionJacobian,10.6
org.apache.commons.math3.transform.FastFourierTransformer,134
org.apache.commons.math3.optimization.BaseMultivariateMultiStartOptimizer,57.6
org.apache.commons.math3.ode.nonstiff.DormandPrince54Integrator,53.8
org.apache.commons.math3.analysis.solvers.RiddersSolver,69
org.apache.commons.math3.analysis.differentiation.SparseGradient,231.2
org.apache.commons.math3.ml.neuralnet.sofm.util.QuasiSigmoidDecayFunction,43.8
org.apache.commons.math3.exception.OutOfRangeException,35.2
org.apache.commons.math3.ml.neuralnet.sofm.LearningFactorFunctionFactory,47.2
org.apache.commons.math3.analysis.function.Divide,6.8
org.apache.commons.math3.analysis.function.Ceil,6.8
org.apache.commons.math3.ode.nonstiff.DormandPrince853Integrator,54.6
org.apache.commons.math3.util.KthSelector,98.4
org.apache.commons.math3.stat.descriptive.SynchronizedSummaryStatistics,47.8
org.apache.commons.math3.linear.AbstractFieldMatrix,447.25
org.apache.commons.math3.optim.nonlinear.scalar.ObjectiveFunction,9.2
org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint,49.8
org.apache.commons.math3.ode.events.EventState,139.75
org.apache.commons.math3.fitting.HarmonicCurveFitter,50.2
org.apache.commons.math3.stat.regression.RegressionResults,126.2
org.apache.commons.math3.optim.linear.LinearOptimizer,50.2
org.apache.commons.math3.analysis.function.Logistic,47.8
org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder,45.2
org.apache.commons.math3.analysis.function.Gaussian,68.2
org.apache.commons.math3.stat.descriptive.moment.Variance,111.8
org.apache.commons.math3.linear.RealLinearOperator,36.6
org.apache.commons.math3.distribution.EnumeratedIntegerDistribution,72
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,252.4
org.apache.commons.math3.stat.descriptive.moment.Skewness,66.6
org.apache.commons.math3.geometry.partitioning.InsideFinder,106.2
org.apache.commons.math3.optimization.SimpleValueChecker,51.2
org.apache.commons.math3.ml.clustering.DBSCANClusterer,76
org.apache.commons.math3.stat.descriptive.summary.SumOfSquares,49.4
org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizer,39.4
org.apache.commons.math3.geometry.euclidean.twod.Vector2DFormat,46.4
org.apache.commons.math3.ode.sampling.NordsieckStepInterpolator,94.2
org.apache.commons.math3.ode.ContinuousOutputModel,105.6
org.apache.commons.math3.geometry.euclidean.threed.SubPlane,63
org.apache.commons.math3.geometry.euclidean.twod.SubLine,87.2
org.apache.commons.math3.util.Combinations,68
org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinates,50
org.apache.commons.math3.optim.linear.LinearConstraint,55.6
org.apache.commons.math3.stat.inference.OneWayAnova,67
org.apache.commons.math3.stat.interval.WilsonScoreInterval,37
org.apache.commons.math3.fraction.ProperFractionFormat,74.6
org.apache.commons.math3.stat.descriptive.AbstractStorelessUnivariateStatistic,65.4
org.apache.commons.math3.distribution.HypergeometricDistribution,102
org.apache.commons.math3.analysis.solvers.IllinoisSolver,9.6
org.apache.commons.math3.fitting.WeightedObservedPoints,36.2
org.apache.commons.math3.stat.regression.AbstractMultipleLinearRegression,105
org.apache.commons.math3.analysis.solvers.NewtonSolver,45.2
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateVectorOptimizer,63.6
org.apache.commons.math3.util.MultidimensionalCounter,98.6666666667
org.apache.commons.math3.geometry.euclidean.threed.Vector3D,121.2
org.apache.commons.math3.geometry.euclidean.threed.Segment,36.75
org.apache.commons.math3.optim.linear.Relationship,43.2
org.apache.commons.math3.optimization.direct.SimplexOptimizer,55.6
org.apache.commons.math3.stat.clustering.EuclideanDoublePoint,47.8
org.apache.commons.math3.complex.RootsOfUnity,85.8
org.apache.commons.math3.analysis.solvers.BisectionSolver,50.4
org.apache.commons.math3.geometry.euclidean.oned.Vector1D,72
org.apache.commons.math3.ode.events.EventFilter,68
org.apache.commons.math3.stat.descriptive.StatisticalSummaryValues,63.8
org.apache.commons.math3.geometry.VectorFormat,64.4
org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D,165.3333333333
org.apache.commons.math3.exception.MathIllegalArgumentException,35.8
org.apache.commons.math3.fitting.WeightedObservedPoint,8.5
org.apache.commons.math3.genetics.ElitisticListPopulation,54.8
org.apache.commons.math3.ode.nonstiff.EulerIntegrator,12.6
org.apache.commons.math3.distribution.LaplaceDistribution,73.2
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.NelderMeadSimplex,87.8
org.apache.commons.math3.fitting.SimpleCurveFitter,40.8
org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,69.6
org.apache.commons.math3.optimization.direct.MultiDirectionalSimplex,47.8
org.apache.commons.math3.analysis.function.Acos,37.25
org.apache.commons.math3.analysis.differentiation.GradientFunction,44.2
org.apache.commons.math3.ode.UnknownParameterException,35
org.apache.commons.math3.stat.inference.MannWhitneyUTest,55.2
org.apache.commons.math3.geometry.spherical.twod.S2Point,70.6
org.apache.commons.math3.geometry.euclidean.twod.DiskGenerator,44.8
org.apache.commons.math3.exception.TooManyEvaluationsException,9
org.apache.commons.math3.analysis.function.HarmonicOscillator,53
org.apache.commons.math3.stat.descriptive.summary.Sum,53.6
org.apache.commons.math3.ode.sampling.StepNormalizer,92.8
org.apache.commons.math3.ode.nonstiff.EulerStepInterpolator,53.4
org.apache.commons.math3.analysis.function.Pow,8
org.apache.commons.math3.ml.distance.EuclideanDistance,35.8
org.apache.commons.math3.stat.descriptive.moment.ThirdMoment,42.8
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet,285.8
org.apache.commons.math3.complex.ComplexFormat,103.2
org.apache.commons.math3.distribution.ParetoDistribution,68.8
org.apache.commons.math3.ml.neuralnet.Network,103
org.apache.commons.math3.geometry.euclidean.threed.OutlineExtractor,60.4
org.apache.commons.math3.distribution.MultivariateNormalDistribution,94.4
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,152.4
org.apache.commons.math3.analysis.interpolation.PiecewiseBicubicSplineInterpolator,53.6
org.apache.commons.math3.optim.linear.LinearObjectiveFunction,51.6
org.apache.commons.math3.analysis.solvers.AbstractDifferentiableUnivariateSolver,34.2
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,85
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSet,187.8
org.apache.commons.math3.optimization.fitting.CurveFitter,52.5
org.apache.commons.math3.linear.DefaultIterativeLinearSolverEvent,46.6
org.apache.commons.math3.optimization.univariate.BrentOptimizer,120.2
org.apache.commons.math3.stat.descriptive.moment.SemiVariance,58
org.apache.commons.math3.optimization.direct.MultivariateFunctionMappingAdapter,62.8
org.apache.commons.math3.analysis.solvers.BrentSolver,105.25
org.apache.commons.math3.optimization.univariate.UnivariatePointValuePair,6.8
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegression,61.4
org.apache.commons.math3.exception.MathInternalError,35.6
org.apache.commons.math3.ode.nonstiff.DormandPrince54StepInterpolator,69.2
org.apache.commons.math3.exception.MathUnsupportedOperationException,36.2
org.apache.commons.math3.analysis.function.Minus,35.8
org.apache.commons.math3.analysis.function.Log10,37.4
org.apache.commons.math3.stat.clustering.DBSCANClusterer,66
org.apache.commons.math3.stat.interval.IntervalUtils,54.2
org.apache.commons.math3.distribution.LogNormalDistribution,75.4
org.apache.commons.math3.optim.linear.NonNegativeConstraint,7
org.apache.commons.math3.linear.HessenbergTransformer,135.6666666667
org.apache.commons.math3.optim.univariate.BracketFinder,119.4
org.apache.commons.math3.geometry.euclidean.twod.Line,81.6
org.apache.commons.math3.random.AbstractRandomGenerator,80.4
org.apache.commons.math3.analysis.solvers.MullerSolver2,79.6
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapter,73.75
org.apache.commons.math3.distribution.ChiSquaredDistribution,43.8
org.apache.commons.math3.optimization.fitting.PolynomialFitter,25.4
org.apache.commons.math3.optimization.DifferentiableMultivariateVectorMultiStartOptimizer,15.8
org.apache.commons.math3.stat.inference.GTest,127.4
org.apache.commons.math3.linear.ConjugateGradient,64.75
org.apache.commons.math3.optim.linear.UnboundedSolutionException,35.2
org.apache.commons.math3.linear.MatrixDimensionMismatchException,12
org.apache.commons.math3.linear.IllConditionedOperatorException,35.8
org.apache.commons.math3.genetics.RandomKeyMutation,41.4
org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolver,44
org.apache.commons.math3.geometry.partitioning.NodesSet,47.75
org.apache.commons.math3.optim.AbstractConvergenceChecker,35.2
org.apache.commons.math3.linear.JacobiPreconditioner,52.2
org.apache.commons.math3.linear.QRDecomposition,114.6
org.apache.commons.math3.analysis.solvers.BaseSecantSolver,151
org.apache.commons.math3.linear.LUDecomposition,122.75
org.apache.commons.math3.fraction.FractionConversionException,35
org.apache.commons.math3.optimization.LeastSquaresConverter,67
org.apache.commons.math3.util.FastMathCalc,149.5
org.apache.commons.math3.dfp.DfpField,117.4
org.apache.commons.math3.optim.SimplePointChecker,55.4
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer,62.4
org.apache.commons.math3.filter.DefaultProcessModel,17.8
org.apache.commons.math3.distribution.GammaDistribution,107.6
org.apache.commons.math3.stat.regression.GLSMultipleLinearRegression,40.6
org.apache.commons.math3.analysis.function.Cos,38.6
org.apache.commons.math3.linear.CholeskyDecomposition,85.75
org.apache.commons.math3.distribution.KolmogorovSmirnovDistribution,134.6666666667
org.apache.commons.math3.analysis.integration.SimpsonIntegrator,54.6
org.apache.commons.math3.geometry.euclidean.threed.Line,73.8
